KIN　ID	分類１	分類２	分類３	分類４	よみ	英語名称	英語よみ　カタカナ	起始	停止	支配神経	作用		支配神経画像	作用動画																																												
K11620				深指屈筋	しんしくっきん	flexor digitorum profundus	フレクサ ディジトーラム プロファンダス	尺骨の前面、前腕骨間膜	第2-5指の末節骨底	"橈骨部・正中神経、尺側部・尺骨神経"	第2-5指の両指節間関節の屈曲（中節骨、末節骨の屈曲）		K11620_C_000																																													
K11630				長母指屈筋	ちょうぼしくっきん	flexor pollicis longus	フレクサ ポリシス ロンガス	橈骨の前面、前腕骨間膜	母指末節骨底	正中神経	母指の中手指節間関節と指節間関節の屈曲（基節骨、末節骨の屈曲）		K11630_C_000																																													
K11640				方形回内筋	ほうけいかいないきん	pronator quadratus	プロネイタ クアドラタス	尺骨の下部前面	橈骨下部前面	"正中神経"	前腕の回内		K11640_C_000	S24100_V_010																																												
K11650			前腕後面の筋																																																							
K11690				（総）指伸筋	（そう）ししんきん	extensor digitorum 	イクステンサ ディジトーラム	上腕骨の外側上顆、前腕筋膜の内面と肘関節包	第2-5指の中節骨底、末節骨底	橈骨神経	手関節の背屈、第2-5指の伸展、外転		K11690_C_000	S25200_V_010																																												
K11700				小指伸筋	しょうししんきん	extensor digiti minimi	イクステンサ ディジタイ ミニマイ	上腕骨の外側上顆、小指伸筋筋膜	第5指指背腱膜	橈骨神経	手関節の背屈、第5指の伸展		K11700_C_000	S25200_V_010																																												
K11710				尺側手根伸筋	しゃくそくしゅこんしんきん	extensor carpi ulnaris	イクステンサ カーパイ アルネイリス	上腕骨頭・上腕骨の外側上顆。尺側頭・尺骨の後面	第5中手骨底	"橈骨神経"	手関節の背屈、内転（尺屈）		K11710_C_000	S25200_V_010																																												
K11720				回外筋	かいがいきん	supinator	スピネイタ	上腕骨の外側上顆、橈側側副靱帯、橈骨輪状靱帯、尺骨の回外筋稜	橈骨上部外側面	"橈骨神経"	前腕の回外		K11720_C_000	S24200_V_010																																												
K11730				長母指外転筋	ちょうぼしがいてんきん	abductor pollicis longus	アブダクタ ポリシス ロンガス	尺骨の骨間縁、前腕骨間膜、橈骨後面	第1中手骨底	橈骨神経	母指の外転		K11730_C_000																																													
K11740				短母指伸筋	たんぼししんきん	extensor pollicis brevis	イクステンサ ポリシス ブレヴィス	前腕骨間膜、橈骨背面中部	母指基節骨底	"橈骨神経"	母指の基節骨の伸展、母指の外転		K11740_C_000																																													
K11750				長母指伸筋	ちょうぼししんきん	extensor pollicis longus	イクステンサ ポリシス ロンガス	尺骨の中部背面、前腕骨間膜	母指末節骨底	"橈骨神経"	母指の伸展、内転		K11750_C_000																																													
K11760				示指伸筋	じししんきん	extensor indicis	イクステンサ インディシス	前腕骨間膜、尺骨の後面	第2指指背腱膜	"橈骨神経"	示指の伸展		K11760_C_000																																													
K11769			前腕橈側の筋																																																							
K11660				腕橈骨筋	わんとうこつきん	brachioradialis	ブレイキオレイディアリス	上腕骨の外側縁下部、外側上腕筋間中隔	橈骨の茎状突起の上方	"橈骨神経"	肘関節の屈曲、回内位での回外、回外位での回内		K11660_C_000	S23100_V_010																																												
K11670				長橈側手根伸筋	ちょうとうそくしゅこんしんきん	extensor carpi radialis longus	イクステンサ カーパイ レイディアリス ロンガス	上腕骨の外側縁、外側上顆、外側上腕筋間中隔	第2中手骨底背面	"橈骨神経"	手関節の背屈、外転（橈屈）		K11670_C_000	S25200_V_010																																												
K11680				短橈側手根伸筋	たんとうそくしゅこんしんきん	extensor carpi radialis brevis	イクステンサ カーパイ レイディアリス ブレヴィス	上腕骨の外側上顆、橈骨輪状靱帯	第3中手骨底背面	"橈骨神経"	手関節の背屈、外転（橈屈）		K11680_C_000	S25200_V_010																																												
K11770		手の筋				Muscles of the hand																																																				
K11780			母指球筋群																																																							
K11790				短母指外転筋	たんぼしがいてんきん	abductor pollicis brevis	アダクター ポリシス ブレヴィス	舟状骨粗面、屈筋支帯	第1中手骨頭の橈側種子骨、母指基節骨底	"正中神経"	母指の外転、屈曲		K11790_C_000																																													
K11800				短母指屈筋	たんぼしくっきん	flexor pollicis brevis	フレクサ ポリシス ブレヴィス	浅頭・屈筋支帯。深頭・大小菱形骨、有頭骨	第1中手骨種子骨、母指基節骨底	"浅頭・正中神経、深頭・尺骨神経"	母指基節骨の屈曲		K11800_C_000																																													
K11810				母指対立筋	ぼしたいりつきん	opponens pollicis	オポネンス ポリシス	大菱形骨、屈筋支帯	第1中手骨（体および頭）	"正中神経"	母指の対立		K11810_C_000																																													
K11820				母指内転筋	ぼしないてんきん	adductor pollicis	アダクター ポリシス	横頭・第3中手骨掌面。斜頭・屈筋支帯、第2中手骨底、有頭骨	母指の基節骨および第1中手骨頭の尺側種子骨	"尺骨神経"	母指の内転		K11820_C_000																																													
K11830			小指球筋群																																																							
K11840				短掌筋	たんしょうきん	palmaris brevis	パルマリス ブレヴィス	手掌腱膜の尺側縁	手の尺側縁の皮膚	"尺骨神経"	小指球の皮膚を引いて、手掌のくぼみを深める																																															
K11850				小指外転筋	しょうしがいてんきん	abductor digiti minimi	アブダクタ ディジタイ ミニマイ 	豆状骨、屈筋支帯	小指基節骨底尺側の種子骨	"尺骨神経"	小指の外転（小指を第4指から離す）		K11850_C_000																																													
K11860				短小指屈筋	たんしょうしくっきん	flexor digiti minimi brevis	フレクサ ディジタイ ミニマイ ブレヴィス	有鈎骨鈎、屈筋支帯	小指基節骨底尺側の種子骨	"尺骨神経"	小指の屈曲																																															
K11870				小指対立筋	しょうしたいりつきん	opponens digiti minimi	オポネンス ディジタイ ミニマイ	有鈎骨鈎、屈筋支帯	第5中手骨尺側縁の体および頭	"尺骨神経"	小指の対立（小指を母指および手掌に近づける）		K11870_C_000																																													
K11880			中手筋群																																																							
K11890				虫様筋	ちゅうようきん	lumbricals 	ランブリカルズ	深指屈筋腱	指背腱膜	"橈側2筋・正中神経。尺側2筋・尺骨神経"	第2-5指の基節骨の屈曲、中節骨、末節骨の伸展		K11890_C_000																																													
K11900				掌側骨間筋	しょうそくこっかんきん	palmar interossei	パルマリス インターロスィアイ	第1掌側骨間筋・第2中手骨の尺側。第2、3掌側骨間筋・第4、5中手骨の橈側	第2、4、5指の基節骨、指背腱膜	"尺骨神経"	第2-5指の内転、基節骨の屈曲、中節骨と末節骨の伸展		K11900_C_000																																													
K11910				背側骨間筋	はいそくこっかんきん	dorsal interossei	ドーサル インターロスィアイ	第1-5中手骨の相対する面	第2-4指の基節骨底、指背腱膜	"尺骨神経"	"第2, 4指の外転（第3指を中心にして、これより第2, 4, 5指を遠ざける）、第3指の橈・尺側外転、母指の内転、掌側骨間筋と共同しておのおの基節骨の屈曲、中節骨・末節骨の伸展"		K11910_C_000																																													
K11920	下肢					LOWER LIMB																																																				
K11930		下肢帯の筋																																																								
K11940			寛骨内筋群																																																							
K11950				腸骨筋（腸腰筋）	ちょうこつきん（ちょうようきん）	iliacus (iliopsoas)	イライアカス（イリオソウアス）	腸骨（上縁および内面）	大腿骨（小転子）	大腿神経	股関節の屈曲、外旋		K11950_C_000	S31100_V_010																																												
K11960				大腰筋（腸腰筋）	だいようきん（ちょうようきん）	psoas major (iliopsoas)	ソウアス メイジャ（イリオソウアス）	第12胸椎-第4腰椎（椎体）、腰椎（肋骨突起）	大腿骨（小転子）	腰神経叢	股関節の屈曲、外旋		K11960_C_000	S31100_V_010																																												
K11970				小腰筋（腸腰筋）	しょうようきん（ちょうようきん）	psoas minor (iliopsoas)	ソウアス マイナ（イリオソウアス） 	第12胸椎、第1腰椎（椎体外側面）	腸骨筋膜、恥骨（腸恥隆起）	腰神経叢	腰椎の側屈		K11960_C_000	S31100_V_010																																												
K11980			寛骨外筋群																																																							
K11990				大殿筋	だいでんきん	gluteus maximus	グルーティアス マクスィマス	腸骨（腸骨翼の外面）、仙骨および尾骨（外側縁）	腸脛靱帯、大腿骨（殿筋粗面）	下殿神経	股関節の伸展、外旋		K11990_C_000	S31200_V_010																																												
K12000				大腿筋膜張筋	だいたいきんまくちょうきん	tensor fasciae latae	テンサー ファシィ ラティ	腸骨（上前腸骨棘）	腸脛靱帯、脛骨（外側顆）	上殿神経	股関節の外転、内旋、屈曲、膝関節の伸展		K12000_C_000	S31100_V_010																																												
K12010				中殿筋	ちゅうでんきん	gluteus medius	グルーティアス ミーディアス	腸骨翼の外面、腸骨稜の外唇、殿筋線筋膜	大腿骨の大転子外側面	上殿神経	股関節の外転、内旋（前部）、外旋（後部）		K12010_C_000	S31300_V_010																																												
K12020				小殿筋	しょうでんきん	gluteus minimus	グルーティアス ミニマス	腸骨翼の外面	大腿骨の大転子前面	上殿神経	股関節の外転、内旋		K12020_C_000	S31300_V_010																																												
K12030				梨状筋	りじょうきん	piriformis	ピリフォーミス	仙骨（前面）	大腿骨（大転子）	仙骨神経叢	股関節の外旋、外転		K12030_C_000	S31500_V_010																																												
K12040				内閉鎖筋	ないへいさきん	obturator internus	オブテュレイタ インターナス	寛骨の内面閉鎖膜	大腿骨の転子窩	仙骨神経叢	股関節の外旋		K12040_C_000	S31500_V_010																																												
K12050				上双子筋	じょうそうしきん	superior gemellus	スーピアリア ジェメラス	坐骨棘	内閉鎖筋の腱、大腿骨の転子窩	仙骨神経叢	股関節の外旋		K12050_C_000	S31500_V_010																																												
K12060				下双子筋	かそうしきん	inferior gemellus	インフィアリア ジェメラス	坐骨結節	内閉鎖筋の腱、大腿骨の転子窩	仙骨神経叢	股関節の外旋		K12060_C_000	S31500_V_010																																												
K12070				大腿方形筋	だいたいほうけいきん	quadratus femoris	クワドラタス フェモリス	坐骨結節の外面	大転子の下部、転子間稜	坐骨神経	股関節の外旋、内転		K12070_C_000	S31500_V_010																																												
K12080				外閉鎖筋	がいへいさきん	obturator externus	オブテュレイタ イクスターナス	寛骨外面の閉鎖孔縁および閉鎖膜	大腿骨の転子窩	"閉鎖神経"	股関節の外旋		K12080_C_000	S31500_V_010																																												
K12100		大腿の筋																																																								
K12110			大腿前面の筋																																																							
K12120				縫工筋	ほうこうきん	sartorius	サトウリアス	腸骨（上前腸骨棘）	脛骨（脛骨粗面内側）	"大腿神経"	股関節の屈曲、外転、外旋、膝関節の屈曲、内旋		K12120_C_000	S31100_V_010																																												
K12130				大腿直筋（大腿四頭筋）	だいたいちょっきん（だいたいしとうきん）	rectus femoris (quadriceps femoris)	レクタス フェモリス（クアドリセプス フェモリス）	腸骨（下前腸骨棘）、寛骨（寛骨臼上縁）	膝蓋骨（底）、さらに膝蓋靱帯を介して脛骨粗面	大腿神経	膝関節の伸展、股関節の屈曲		K12130_C_000	S31100_V_010																																												
K12140				外側広筋（大腿四頭筋）	がいそくこうきん（だいたいしとうきん）	vastus lateralis (quadriceps femoris)	ヴァスタス ラテラリス（クアドリセプス フェモリス）	大転子の基部、大腿骨粗線の外側唇	膝蓋骨の底および外側縁、膝蓋靱帯を介して脛骨粗面	大腿神経	膝関節の伸展		K12140_C_000	S32200_V_010																																												
K12150				中間広筋（大腿四頭筋）	ちゅうかんこうきん（だいたいしとうきん）	vastus intermedius (quadriceps femoris)	ヴァスタス インターミーディアス（クアドリセプス フェモリス）	大腿骨骨体の前面	膝蓋骨の底、膝蓋靱帯を介して脛骨粗面	大腿神経	膝関節の伸展		K12150_C_000	S32200_V_010																																												
K12160				内側広筋（大腿四頭筋）	ないそくこうきん（だいたいしとうきん）	vastus medialis (quadriceps femoris)	ヴァスタス ミーディアリス（クアドリセプス フェモリス）	大腿骨の転子間線下部および大腿骨粗線の内側唇	膝蓋骨の底および内側縁、膝蓋靱帯を介して脛骨粗面	大腿神経	膝関節の伸展		K12160_C_000	S32200_V_010																																												
K12170				膝関節筋	しつかんせつきん	articularis genus	アティキュラリス ジーナス	大腿骨の前面下部	膝関節包の膝蓋上包	大腿神経	膝関節包を張る																																															
K12180			大腿内転筋群																																																							
K12190				恥骨筋	ちこつきん	pectineus	ペクティニーアス	恥骨上枝、恥骨櫛、恥骨靱帯	大腿骨の恥骨筋線	"大腿神経、閉鎖神経"	股関節の内転、屈曲		K12190_C_000	S31400_V_010																																												
K12200				薄筋	はっきん	gracilis	グラスィリス	恥骨結合の外側縁	脛骨の上内側面（鵞足を形成）	閉鎖神経	股関節の内転、内旋、膝関節の屈曲		K12200_C_000	S31400_V_010																																												
K12210				長内転筋	ちょうないてんきん	adductor longus	アダクター ロンガス	恥骨結合前面、恥骨結節の下方	大腿骨の粗線内側唇	閉鎖神経	股関節の内転、屈曲		K12210_C_000	S31400_V_010																																												
K12220				短内転筋	たんないてんきん	adductor brevis	アダクター ブレヴィス	恥骨結合、恥骨結節	大腿骨の粗線内側唇	"閉鎖神経"	股関節の内転、屈曲		K12220_C_000	S31400_V_010																																												
K12230				大内転筋	だいないてんきん	adductor magnus	アダクター マグナス	坐骨下枝の前面、坐骨結節の下面、坐骨枝	大腿骨の粗線内側唇、大腿骨内側上顆（内転筋結節）	前部（内転部）・閉鎖神経。後部（膝腱部）・坐骨神経の脛骨神経部	股関節の内転、屈曲（前部）、伸展（後部）		K12230_C_000	S31400_V_010																																												
K12240			大腿後面の筋																																																							
K12250				大腿二頭筋（ハムストリング）	だいたいにとうきん（はむすとりんぐ）	biceps femoris (hamstring)	バイセプス フェモリス（ハムストリング）	長頭・坐骨（坐骨結節後面）。短頭・大腿骨（粗線外側唇）	腓骨（腓骨頭）、下腿筋膜	"長頭・脛骨神経。短頭・総腓骨神経 (L4,L5,S1)"	股関節の伸展、外旋、膝関節の屈曲		K12250_C_000	S31200_V_010																																												
K12260				半腱様筋（ハムストリング）	はんけんようきん（はむすとりんぐ）	semitendinosus (hamstring)	セミテンディノウサス（ハムストリング）	坐骨（坐骨結節）	脛骨(脛骨粗面内側)	"脛骨神経"	股関節の伸展、内転、内旋、膝関節の屈曲		K12260_C_000	S31200_V_010																																												
K12270				半膜様筋（ハムストリング）	はんまくようきん（はむすとりんぐ）	semimembranosus (hamstring)	セミメンブラノウサス（ハムストリング）	坐骨（坐骨結節）	脛骨（内側顆）	"脛骨神経"	股関節の伸展、内転、内旋、膝関節の屈曲		K12270_C_000	S31200_V_010																																												
K12280		下腿の筋																																																								
K12290			下腿前面の筋																																																							
K12300				前脛骨筋	ぜんけいこつきん	tibialis anterior	ティビアリス アンティリア	脛骨（上方外側面）、下腿骨間膜	内側楔状骨、第1中足骨（底）	深腓骨神経	足の背屈、内がえし		K12300_C_000	S33200_V_010																																												
K12310				長指伸筋	ちょうししんきん	extensor digitorum longus	エクステンサー ディジトーラム ロンガス	脛骨上端の外側面、腓骨の前縁、下腿骨間膜、下腿筋膜	第2-5指指背腱膜、中節骨、末節骨	深腓骨神経	第2-5指の伸展、足の背屈、外がえし		K12310_C_000	S33200_V_010																																												
K12320				第三腓骨筋	だいさんひこつきん	peroneus (fibularis) tertis	ペロウニアス（フィビュラリス） ターシアス	腓骨の下部	第5中足骨底の背側面	深腓骨神経	足の外がえし、背屈		K12320_C_000	S33300_V_010																																												
K12330				長母指伸筋	ちょうぼししんきん	extensor hallucis longus	エクステンサー ハリュスィーズ ロンガス	尺骨の中部背面、前腕骨間膜	母指末節骨底	"橈骨神経"	母指の伸展、内転		K12330_C_000	S33200_V_010																																												
K12340			下腿外側の筋																																																							
K12350				長腓骨筋	ちょうひこつきん	peroneus (fibularis) longus	ペロウニアス（フィビュラリス） ロンガス	腓骨頭、腓骨外側縁	第1（第2）中足骨の底、内側楔状骨	"浅腓骨神経"	足の外がえし、底屈		K12350_C_000	S33300_V_010																																												
K12360				短腓骨筋	たんひこつきん	peroneus (fibularis) brevis	ペロウニアス（フィビュラリス） ブレヴィス	腓骨の外側面	第5中足骨粗面	"浅腓骨神経"	足の外がえし、底屈		K12360_C_000	S33300_V_010																																												
K12370			下腿後面の筋																																																							
K12380				腓腹筋（下腿三頭筋）	ひふくきん（かたいさんとうきん）	gastrocnemius (triceps surae)	ガストロクニーミアス（トライセプス スラエ）	内側頭・大腿骨（内側上顆）。外側頭・大腿骨（外側上顆）	ヒラメ筋腱と一緒にアキレス腱となり、踵骨隆起	脛骨神経	足の底屈、膝関節の屈曲		K12380_C_000	S33100_V_010																																												
K12390				ヒラメ筋（下腿三頭筋）	ひらめきん（かたいさんとうきん）	soleus (triceps surae)	ソウリアス（トライセプス スラエ）	脛骨（後面のヒラメ筋線）、腓骨（腓骨頭）	腓腹筋の腱とともにアキレス腱となり、踵骨隆起	脛骨神経	足の底屈		K12390_C_000	S33100_V_010																																												
K12400				足底筋	そくていきん	plantaris	プランタリス	大腿骨の外側上顆	踵骨の内側、アキレス腱	脛骨神経	下腿三頭筋の働きを助ける		K12400_C_000	S33100_V_010																																												
K12410				膝窩筋	しっかきん	popliteus	ポプリティアス	大腿骨の外側上顆	脛骨の後面上部（ヒラメ筋線の上部）	脛骨神経	膝関節の屈曲、下腿の内旋		K12410_C_000	S32100_V_010																																												
K12420				後脛骨筋	こうけいこつきん	tibialis posterior	ティビアリス ポスティリア	脛骨の後面、腓骨の内側面、下腿骨間膜の後面	舟状骨粗面、内側・中間・外側楔状骨、立方骨、第2-4中足骨の底	脛骨神経	足の内がえし、底屈		K12420_C_000	S33400_V_010																																												
K12430				長指屈筋	ちょうしくっきん	flexor digitorum longus	フレクサ ディジトラム ロンガス	脛骨の後面、下腿骨間膜	第2-5指の末節骨底	脛骨神経	足指の屈曲、足の底屈		K12430_C_000	S33400_V_010																																												
K12440				長母指屈筋	ちょうぼしくっきん	flexor hallucis longus	フレクサ ハリュシィス ロンガス	橈骨の前面、前腕骨間膜	母指末節骨底	正中神経	母指の中手指節間関節と指節間関節の屈曲（基節骨、末節骨の屈曲）		K12440_C_000	S33400_V_010																																												
K12450		足の筋																																																								
K12460			足背筋群																																																							
K12470				短母指伸筋	たんぼししんきん	extensor hallucis brevis	イクスエテンサ ハリュシィス ブレヴィス	前腕骨間膜、橈骨背面中部	母指基節骨底	"橈骨神経"	母指の基節骨の伸展、母指の外転																																															
K12480				短指伸筋	たんししんきん	extensor digitorum brevis	イクステンサ ディジトラム ブレヴィス	踵骨前部の背側面	長指伸筋腱に合して、第2-4指の中節骨と末節骨	深腓骨神経	第2-4指の伸展																																															
K12490			足底筋群																																																							
K12500				母指外転筋（母指球筋）	ぼしがいてんきん（ぼしきゅうきん）	abductor hallucis	アブダクタ ハリュシィス	踵骨隆起の内側	母指基節骨底、第1中足骨頭の下内側にある種子骨	"内側足底神経"	母指の外転、屈曲、足のアーチ保持		K12500_C_000																																													
K12510				短母指屈筋（母指球筋）	たんぼしくっきん（ぼしきゅうきん）	flexor hallucis brevis	フレクサ ハリュシィス ブレヴィス	内側・中間楔状骨、長足底靱帯	第1中足骨頭の内・外側種子骨、母指基節骨の底	内側足底神経	母指基節骨の屈曲		K12510_C_000																																													
K12520				母指内転筋（母指球筋）	ぼしないてんきん（ぼしきゅうきん）	adductor hallucis	アダクター ハリュシィス	斜頭・立方骨、外側楔状骨、長足底靱帯、第2-4中足骨。横頭・第2-5中足指節関節包および中足骨頭	第1中足骨頭の外側種子骨、母指基節骨の底	"外側足底神経"	母指基節骨の屈曲、内転																																															
K12530				小指外転筋（小指球筋）	しょうしがいてんきん（しょうしきゅうきん）	abductor digiti minimi	アブダクタ ディジタイ ミニマイ 	踵骨隆起外側部、踵骨外側面	第5中足骨粗面、小指基節骨の底	"外側足底神経"	小指基節骨の屈曲、外転		K12530_C_000																																													
K12540				短小指屈筋（小指球筋）	たんしょうしくっきん（しょうしきゅうきん）	flexor digiti minimi brevis	フレクサ ディジタイ ミニマイ ブレヴィス	長足底靱帯、第5中足骨の底	小指基節骨の底	"外側足底神経"	小指基節骨の屈曲		K12540_C_000																																													
K12550				小指対立筋（小指球筋）	しょうしたいりつきん（しょうしきゅうきん）	opponens digiti minimi	オポネンス ディジタイ ミニマイ	足根の外側部、長足底靱帯	第5中足骨外側縁	"外側足底神経"	第5中足骨の底屈、内転		K12550_C_000																																													
K12560				短指屈筋（中足筋）	たんしくっきん（ちゅうそくきん）	flexor digitorum brevis	フレクサ ディジトラム ブレヴィス	踵骨隆起の内側結節、足底腱膜	第2－5中節骨の底	"内側足底神経"	第2-5指の中節骨の屈曲		K12560_C_000																																													
K12570				足底方形筋（中足筋）	そくていほうけいきん（ちゅうそくきん）	quadratus plantae	クワドラタス プランティ	内側頭・踵骨隆起の内側突起。外側頭・踵骨隆起の外側突起	長指屈筋の腱の外側縁	"外側足底神経"	長指屈筋の働きを助け、指を屈曲																																															
K12580				虫様筋（中足筋）	ちゅうようきん（ちゅうそくきん）	lumbricals 	ランブリカルズ	第1虫様筋・第2指へ向かう長指屈筋腱の母指側。第2-4虫様筋・第2指へ向かう長指屈筋腱の相対する面	第2-5指の指背腱膜に合する。基節骨の内側	"内側2筋・内側足底神経。外側2筋・外側足底神経"	第2-5指の基節骨の屈曲		K12580_C_000																																													
K12590				背側骨間筋（中足筋）	はいそくこっかんきん（ちゅうそくきん）	dorsal interossei	ドーサル インターロスィアイ	第1-5中足骨の相対する面	第1背側骨間筋・第2指の基節骨底の内側。第2-4背側骨間筋・第2-4指の基節骨底の外側	"外側足底神経"	第2-4指の外転、基節骨の屈曲		K12590_C_000																																													
K12600				底側骨間筋（中足筋）	ていそくこっかんきん（ちゅうそくきん）	plantar interossei	プランタ インターロスィアイ	第3-5中足骨の内側面	第3-5指の基節骨底の内側	"外側足底神経"	第3-5指の内転、基節骨の屈曲		K12600_C_000																																													
																																																										
																																																										
